100,relu,1.79,0.83,100,1.0,0.7819,0.7735,1.2183331138761953e-17,0.045584050005695737,0.04616433102132129,1e-10
MINST 100,relu,1.79,0.83,100,1.0,0.7819,0.7735,1.2183331138761953e-17,0.045584050005695737,0.04616433102132129,1e-10
MINST 100,relu,1.79,0.83,100,1.0,1.0,1.0,1.4990929557272114e-15,8.433321759531534,8.449007025386605,1e-10
CIFAR10 100,relu,1.79,0.83,100,1.0,0.7819,0.7735,1.2183331138761953e-17,0.045584050005695737,0.04616433102132129,1e-10
MNIST 100,relu,1.79,0.83,100,1.0,0.7819,0.7735,1.2183331138761953e-17,0.045584050005695737,0.04616433102132129,1e-10
MNIST 100,tanh,1.79,0.83,100,0.1,0.1001,0.098,0.08999999753885271,0.08999999737108745,0.09000000618834576,1e-10
MNIST 1000,relu,1.79,0.83,100,1.0,0.916,0.905,0.0005487602508139806,0.02224270274691931,0.025387391492405945,0.001
1000,relu,1.79,0.83,100,1.0,0.916,0.905,0.0005487602508139806,0.02224270274691931,0.025387391492405945,0.001
1000,tanh,1.79,0.83,100,0.1,0.099,0.116,0.08999999600262092,0.09000002068255453,0.08999998754185233,1e-10
MINST, 1000,tanh,1.79,0.83,100,0.1,0.099,0.116,0.08999999600262092,0.09000002068255453,0.08999998754185233,1e-10
CIFAR10, 1000,relu,1.79,0.83,100,1.0,1.0,1.0,2.1540718462649633e-15,7.215315160159039,7.576804968552181,1e-10
CIFAR10, 1000,relu,1.79,0.83,100,1.0,0.387,0.381,2.1155320439893542e-17,0.07687561091390574,0.07772085354432016,1e-10
